"Source:","C:\Users\gecko\Desktop\classes\pcb\TemperatureDatalogger\TemperatureDatalogger.kicad_sch"
"Date:","2025-11-14T09:51:00-0700"
"Tool:","Eeschema 9.0.4"
"Generator:","C:\Program Files\KiCad\9.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AVAILABILITY","Availability","Check_prices","DESCRIPTION","DPN","DPR","Datasheet","Description","Description_1","Digikey Link (backup part)","Digikey link","Footprint","JLCPCB","JLCPCB link","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MFR","MP","MPN","MRF","PACKAGE","PARTREV","PRICE","PURCHASE-URL","Package","Price","SPN","SPR","STANDARD","Sim.Pins","SnapEDA_Link","Untitled Field"
"1","2","C1, C7","10uf RFS","WCAP-PSLP_4X5.5:WCAP-PSLP_4X5.5","RF-A_NCH:RF-A_NCH-M","kicad-embed://e-rfs_rfa.pdf","DNP","","","","","","","kicad-embed://e-rfs_rfa.pdf","","","","https://www.digikey.com/en/products/detail/nichicon/RFS1A100MCN1GB/2202796?s=N4IgTCBcDaIEoDEDKBGAgigDJgsgYQDkUBxAIRAF0BfIA","RF-A_NCH:RF-A_NCH-M","https://jlcpcb.com/partdetail/Nichicon-RFS1A100MCN1GB/C2162094","","","","","Nichicon","","RFS1A100MCN1GB","","","","","","","","493-3682-1-ND","Digikey","","","",""
"2","9","C2, C3, C4, C6, C11, C12, C13, C14, C15","100 nf",":CC0603KRX5R8BB104_1","CC0603KRX5R8BB104:CAP_CC0603KRX5R8BB104_YAG-M","CC0603KRX5R8BB104","","","","","","","","CC0603KRX5R8BB104","","","","https://www.digikey.com/en/products/detail/yageo/CC0603KRX5R8BB104/20376210?s=N4IgTCBcDaIMJwAwDZEGYDSAlAGgViwA4AhYgRkQBYQBdAXyA","CC0603KRX5R8BB104:CAP_CC0603KRX5R8BB104_YAG-M","","https://jlcpcb.com/partdetail/YAGEO-CC0603KRX5R8BB104/C2930551","","","","YAGEO",""," CC0603KRX5R8BB104","","","","","","",""," C2930551","JLCPCB","","","",""
"3","1","C5","22uf WCAP","WCAP-PSLP_4X5.5:WCAP-PSLP_4X5.5","WCAP-PSLP:WCAP-PSLP_4X5.5_DXL_","kicad-embed://875105240003.pdf","DNP","","","","","","","kicad-embed://875105240003.pdf","","","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/875105240003/5147567","WCAP-PSLP:WCAP-PSLP_4X5.5_DXL_","","https://jlcpcb.com/partdetail/WurthElektronik-875105240003/C2161805","","","","Wurth Elektronik",""," 875105240003","","","","","","","","732-6403-1-ND - Cut Tape (CT)","Digikey","","","",""
"4","1","D1","D_Schottky","Device:D_Schottky","Schottkey:DO-214AC_VIS-M","kicad-embed://bys10.pdf","","","","","","","","kicad-embed://bys10.pdf","Schottky diode","","","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/BYS10-25-E3-TR/2149781","Schottkey:DO-214AC_VIS-M","","https://jlcpcb.com/partdetail/VishayIntertech-BYS10_25_E3TR/C3008962","","",""," Vishay Intertech","","BYS10-25-E3/TR","","","","","","","","C3008962","JLCPCB","","","",""
"5","2","D2, D4","Green LED","Device:LED","LED:LED_0604_SMD","kicad-embed://150060VS55040.pdf","","","","","","","","kicad-embed://150060VS55040.pdf","Light emitting diode","","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060VS55040/8557182","LED:LED_0604_SMD","","https://jlcpcb.com/partdetail/WurthElektronik-150060VS55040/C6390388","","","","","","150060VS55040","Würth Elektronik","","","","","","","C6390388","JLCPCB","","1=K 2=A","",""
"6","1","D3","Red LED","Device:LED","LED:LED_0604_SMD","kicad-embed://150060VS55040.pdf","","","","","","","","kicad-embed://150060VS55040.pdf","Light emitting diode","","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060RS75000/4489901","LED:LED_0604_SMD","","https://jlcpcb.com/partdetail/WurthElektronik-150060RS75000/C3030991","","","","","","150060RS75000","Würth Elektronik","","","","","","","C3030991","JLCPCB","","1=K 2=A","",""
"7","1","J1","USB_C_Receptacle_USB2.0_16P","Connector:USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","kicad-embed://C165948.pdf","","","","","","","","kicad-embed://C165948.pdf","USB 2.0-only 16P Type-C Receptacle connector","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","","https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948","","",""," Korean Hroparts Elec",""," TYPE-C-31-M-12","","","","","","","","C165948","JLCPCB","","","",""
"8","1","J2","Micro_SD_Card","TF-01A:TF-01A","TF_01A:TF-01A","https://www.we-online.com/components/products/datasheet/693072010801.pdf","","","Not in stock","https://www.snapeda.com/parts/TF-01A/HRO+Electronics+Co.%252C+Ltd./view-part/?ref=eda","","","","https://www.we-online.com/components/products/datasheet/693072010801.pdf","Micro SD Card Socket","Standard Card Edge Connectors","","","TF_01A:TF-01A","","https://jlcpcb.com/parts/componentSearch?searchTxt=tf-01a","","","HRO Electronics Co., Ltd.","Korean Hroparts Elec","TF-01A","TF-01A","","","","","","Package","None","C91145","JLCPCB","","","https://www.snapeda.com/parts/TF-01A/HRO+Electronics+Co.%252C+Ltd./view-part/?ref=snap",""
"9","3","J3, J4, J15","6130XX11121_61300611121","6130XX11121_61300611121:6130XX11121_61300611121","header6pin:61300611121","","DNP","","","","","","","","","","","","header6pin:61300611121","","","","","","","","","","","","","","","","","","","","",""
"10","1","J5","61300411121","61300411121:61300411121","header2_4pin:WURTH_61300411121","","DNP","In Stock","","","Connector Header Through Hole 4 position 0.100 (2.54mm)","","","","Connector Header Through Hole 4 position 0.100 (2.54mm)","","","","header2_4pin:WURTH_61300411121","","","","","Würth Elektronik","","61300411121","","","None","","None","https://pricing.snapeda.com/search/part/61300411121/?ref=eda","","","","","","","",""
